City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kavieng,PG,83.82,light rain,-2.5744,150.7967,Nusa Island Retreat
3,Fereydun Kenar,IR,71.47,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
5,Ponta Do Sol,PT,71.71,scattered clouds,32.6667,-17.1,Hotel do Campo
7,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,Le four à pain
10,Mogadishu,SO,76.91,broken clouds,2.0371,45.3438,Hotel Juba
14,Thinadhoo,MV,81.55,overcast clouds,0.5333,72.9333,
17,Puerto El Triunfo,SV,79.66,overcast clouds,13.2833,-88.55,Hotel Jardin
21,San Ramon De La Nueva Oran,AR,71.42,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
24,Bentiu,SS,72.9,overcast clouds,9.2333,29.8333,Mandela hôtel
25,Sangmelima,CM,67.42,heavy intensity rain,2.9333,11.9833,gamestar hotel
26,Rikitea,PF,73.92,light rain,-23.1203,-134.9692,People ThankYou
27,Cascais,PT,67.51,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
28,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Muscat,OM,73.42,scattered clouds,23.6139,58.5922,Mutrah Hotel
39,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
47,Ilhabela,BR,69.98,light rain,-23.7781,-45.3581,Ilha Flat Hotel
48,Carnarvon,AU,68.29,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
51,Salinopolis,BR,80.26,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
53,Morondava,MG,73.81,few clouds,-20.2833,44.2833,La Case Bambou
54,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
55,Harper,LR,77.22,light rain,4.375,-7.7169,Screensaver
57,Buzmeyin,TM,67.73,clear sky,38.0507,58.2056,
60,Darnah,LY,70.03,light rain,32.767,22.6367,فندق الفردوس
61,Bambari,CF,71.1,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
63,Kasongo-Lunda,CD,69.6,light rain,-6.4667,16.8167,
64,Puerto Maldonado,PE,73.85,broken clouds,-12.6,-69.1833,Wasai Hotel
65,Gazanjyk,TM,67.41,overcast clouds,39.2446,55.5154,Railway motel
66,Arlit,NE,83.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
67,Butaritari,KI,81.75,clear sky,3.0707,172.7902,Isles Sunset Lodge
70,Huilong,CN,70.93,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
71,Kibala,TD,75.15,clear sky,9.1104,18.3463,Prasant Hotels
72,Vila Franca Do Campo,PT,66.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
73,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
74,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
75,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
76,Lahij,YE,75.96,clear sky,13.1667,44.5833,
80,Correntina,BR,73.85,few clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
83,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
84,Bogande,BF,79.23,clear sky,12.9714,-0.1436,Auberge Wendkouni
85,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
86,Arraial Do Cabo,BR,70.54,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Atuona,PF,76.78,few clouds,-9.8,-139.0333,Villa Enata
94,Broken Hill,AU,68.05,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
99,Ambilobe,MG,69.66,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
101,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
102,Jalu,LY,67.3,clear sky,29.0331,21.5482,صاحبة الفخامة
103,Mana,GF,79.86,scattered clouds,5.6592,-53.7767,LE SAMANA
104,Porto Velho,BR,82.45,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
106,Kaeo,NZ,71.33,clear sky,-35.1,173.7833,Bushido Lodge
108,Salou,ES,67.28,clear sky,41.0766,1.1416,Hotel Santa Monica Playa
109,Katsuura,JP,73.2,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
110,San Patricio,US,82.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
114,Teguise,ES,70.02,light rain,29.0605,-13.564,B&B La Casona de Nazaret
115,Acajutla,SV,80.8,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
118,Alta Floresta,BR,78.57,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
119,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
120,Mendoza,AR,65.73,clear sky,-32.8908,-68.8272,Hotel Mendoza
121,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
122,Hongjiang,CN,69.93,clear sky,27.11,109.9956,洪江大酒店
124,Shakawe,BW,70.97,overcast clouds,-18.3667,21.85,EdenWood Lodge
125,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
126,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Pirineos
133,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
134,Nacala,MZ,70.11,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
136,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
137,Callaway,US,73.33,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
140,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
144,Dutse,NG,73.02,overcast clouds,11.7594,9.3392,Kaci
147,Buchanan,LR,75.63,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
150,Kattivakkam,IN,82.49,scattered clouds,13.2167,80.3167,Euronova Freezer
155,Puro,PH,84.51,overcast clouds,12.4841,123.3827,
159,Kutum,SD,72.45,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
162,Isla Vista,US,69.82,scattered clouds,34.4133,-119.861,Best Western Plus South Coast Inn
164,East London,ZA,65.79,overcast clouds,-33.0153,27.9116,Tu Casa
169,Itarema,BR,78.71,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
170,Airai,TL,73.36,overcast clouds,-8.9266,125.4092,
171,Sakakah,SA,69.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
174,Yichang,CN,73.15,overcast clouds,30.7144,111.2847,Gezhouba Hotel
175,Bardiyah,LY,70.48,light rain,31.7561,25.0865,بورتو بردية
178,Kaithal,IN,69.28,clear sky,29.8,76.3833,Koel Complex
180,Inverell,AU,72.66,few clouds,-29.7833,151.1167,Sapphire City Motor Inn
181,Samana,DO,78.31,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
182,Yulara,AU,81.81,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
185,Mporokoso,ZM,65.34,scattered clouds,-9.3727,30.125,Kutemwa lodge
187,Lalupon,NG,71.85,light rain,7.4667,4.0667,BSB HOTELS
191,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
192,Tondano,ID,82.49,overcast clouds,1.3038,124.9112,Villa Bella
193,Las Vegas,US,81.28,clear sky,36.175,-115.1372,Plaza Hotel & Casino
194,Pires Do Rio,BR,73.0,scattered clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
196,Cukai,MY,84.99,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
200,Buritis,BR,78.46,scattered clouds,-15.6178,-46.4233,Hotel Rainha do Vale
205,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
209,Bubaque,GW,82.35,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
212,Sinjar,IQ,72.03,broken clouds,36.3209,41.8754,زوماني فون 1
213,Hasaki,JP,75.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
214,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
216,Biak,ID,83.05,broken clouds,-0.9131,122.8766,Penginapan Kim
219,Shush,IR,79.03,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
220,Kaniama,CD,69.48,broken clouds,-7.5667,24.1833,
221,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
222,North Bend,US,66.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
225,Bata,GQ,75.99,light rain,1.8639,9.7658,Hotel Elik Melen
226,Tiruchchendur,IN,77.29,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
227,Macheng,CN,69.84,clear sky,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
230,Coolum Beach,AU,74.1,broken clouds,-26.5333,153.1,Coolum Beach Resort
237,Georgetown,MY,76.93,moderate rain,5.4112,100.3354,Cititel Penang
241,Faanui,PF,79.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
242,Guerrero Negro,MX,70.7,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
243,Poum,NC,75.07,few clouds,-20.2333,164.0167,
246,Saint-Joseph,RE,70.47,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
248,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
249,Sao Filipe,CV,77.14,scattered clouds,14.8961,-24.4956,Hotel Xaguate
250,Matara,LK,76.95,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
252,Rafai,CF,68.95,light rain,4.95,23.9167,
253,Meridian,US,76.05,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
255,Hope,US,84.25,scattered clouds,33.6671,-93.5916,Best Western Hope
256,Half Moon Bay,US,68.92,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
258,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
264,Trincomalee,LK,78.49,overcast clouds,8.5711,81.2335,Welcombe Hotel
266,Sola,VU,84.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
267,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
268,Rangapara,IN,70.52,clear sky,26.8167,92.65,Circuit House Rangapada
273,Srivardhan,IN,75.94,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
274,Lumphat,KH,74.21,overcast clouds,13.4878,106.9816,"Wing Seng Narong Agent, And Printing House"
278,Dingle,PH,79.9,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
279,Manggar,ID,81.1,overcast clouds,-2.8833,108.2667,Guest Hotel
