City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,56.48,71,100,3.27,overcast clouds
1,Vardo,NO,70.3705,31.1107,46.38,93,100,14.97,overcast clouds
2,Kavieng,PG,-2.5744,150.7967,83.82,72,76,10.8,light rain
3,Fereydun Kenar,IR,36.6864,52.5225,71.47,76,65,1.66,broken clouds
4,Bayanday,RU,53.0661,105.5139,26.73,76,10,1.57,clear sky
5,Ponta Do Sol,PT,32.6667,-17.1,71.71,74,48,3.91,scattered clouds
6,Tuatapere,NZ,-46.1333,167.6833,58.57,68,50,5.41,scattered clouds
7,Saint-Philippe,RE,-21.3585,55.7679,65.79,78,53,9.19,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,55.94,82,0,14.0,clear sky
9,Dikson,RU,73.5069,80.5464,32.49,81,35,12.28,scattered clouds
10,Mogadishu,SO,2.0371,45.3438,76.91,83,51,9.78,broken clouds
11,Norman Wells,CA,65.282,-126.8329,26.64,63,100,14.97,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,28.56,62,0,8.81,clear sky
13,Jamestown,US,42.097,-79.2353,44.71,73,0,4.61,clear sky
14,Thinadhoo,MV,0.5333,72.9333,81.55,71,91,16.53,overcast clouds
15,Tahe,CN,52.3333,124.7333,35.71,74,60,8.63,broken clouds
16,Ushuaia,AR,-54.8,-68.3,44.26,49,0,12.66,clear sky
17,Puerto El Triunfo,SV,13.2833,-88.55,79.66,84,100,1.99,overcast clouds
18,Bluff,NZ,-46.6,168.3333,56.8,72,63,10.02,broken clouds
19,Ribeira Grande,PT,38.5167,-28.7,63.77,81,96,8.99,light rain
20,Busselton,AU,-33.65,115.3333,54.73,75,65,6.85,broken clouds
21,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,71.42,51,100,2.01,overcast clouds
22,Tiksi,RU,71.6872,128.8694,22.1,82,100,21.18,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,46.51,53,0,17.27,clear sky
24,Bentiu,SS,9.2333,29.8333,72.9,81,97,2.3,overcast clouds
25,Sangmelima,CM,2.9333,11.9833,67.42,100,100,0.98,heavy intensity rain
